"		지점번호",지점명,일시,평균기온(℃),평균최고기온(℃),최고기온(℃),"	최고기온일자",평균최저기온(℃),최저기온(℃),최저기온일자
"		108",서울,1970,11.4,16.1,35,8/12/1970,7.5,-20.2,1/5/1970
"		108",서울,1971,11.5,16.1,33.2,8/3/1971,7.8,-16.1,1/5/1971
"		108",서울,1972,11.9,16.5,35.6,7/20/1972,8,-12,12/13/1972
"		108",서울,1973,12,16.8,35.2,8/16/1973,8.2,-17.4,12/24/1973
"		108",서울,1974,11.1,15.9,33.9,8/19/1974,7.2,-15.5,1/24/1974
"		108",서울,1975,12.5,17.4,35.3,8/18/1975,8.6,-11.8,1/18/1975
"		108",서울,1976,11.5,16.4,34.8,6/28/1976,7.4,-18.5,12/27/1976
"		108",서울,1977,12.3,17.3,35,7/29/1977,8.1,-16.8,2/16/1977
"		108",서울,1978,12.4,17.2,36.1,7/28/1978,8.4,-16,2/1/1978
"		108",서울,1979,12.5,17.2,32.6,8/13/1979,8.6,-13,2/2/1979
"		108",서울,1980,10.8,15.7,31.7,5/31/1980,6.8,-16.2,12/29/1980
"		108",서울,1981,11.2,15.8,35.2,7/31/1981,7.2,-16.5,1/4/1981
"		108",서울,1982,12.5,17.4,35.5,8/11/1982,8.3,-14.1,1/29/1982
"		108",서울,1983,12.4,16.9,34.3,8/5/1983,8.3,-13.9,1/9/1983
"		108",서울,1984,11.6,16.5,35.2,8/10/1984,7.6,-15.1,2/6/1984
"		108",서울,1985,11.6,16.2,35.4,7/29/1985,7.7,-16.7,1/14/1985
"		108",서울,1986,11.2,15.7,32.8,8/1/1986,7.4,-19.2,1/5/1986
"		108",서울,1987,11.9,16.4,31.6,8/14/1987,7.9,-15.1,1/14/1987
"		108",서울,1988,12.1,16.8,36.6,8/10/1988,8,-12.9,2/3/1988
"		108",서울,1989,13,17.5,35.3,8/5/1989,9,-11.2,1/28/1989
"		108",서울,1990,12.8,17.1,35.5,8/7/1990,9,-17.1,1/25/1990
"		108",서울,1991,12.3,17,34.7,8/20/1991,8.2,-15,2/23/1991
"		108",서울,1992,12.5,16.9,32.8,8/29/1992,8.5,-9.7,12/23/1992
"		108",서울,1993,12,16.7,31.9,5/29/1993,8.1,-11.2,12/15/1993
"		108",서울,1994,13.5,18.3,38.4,7/24/1994,9.5,-12.6,12/16/1994
"		108",서울,1995,12.2,16.7,33.7,8/15/1995,8.2,-11.1,1/30/1995
"		108",서울,1996,12.2,16.8,35.4,8/1/1996,8.3,-13.8,2/2/1996
"		108",서울,1997,12.9,17.7,36.1,7/26/1997,8.7,-13.7,1/22/1997
"		108",서울,1998,13.8,18.4,32.8,9/12/1998,9.8,-15.4,1/24/1998
"		108",서울,1999,13.2,17.8,35.4,8/17/1999,9,-12.3,2/3/1999
"		108",서울,2000,12.7,17.1,35.1,8/2/2000,8.6,-12.1,1/7/2000
"		108",서울,2001,12.8,17.3,35.3,8/17/2001,8.9,-18.6,1/15/2001
"		108",서울,2002,12.9,17.2,34.8,7/28/2002,9.1,-12,1/3/2002
"		108",서울,2003,12.8,17,32.2,8/5/2003,9.2,-15.5,1/5/2003
"		108",서울,2004,13.3,17.7,36.2,8/10/2004,9.5,-16.7,1/22/2004
"		108",서울,2005,12.1,16.4,35,8/6/2005,8.4,-14,12/18/2005
"		108",서울,2006,13,17.2,34.7,8/4/2006,9.3,-14.1,2/3/2006
"		108",서울,2007,13.3,17.5,33.2,8/23/2007,9.7,-8.6,2/2/2007
"		108",서울,2008,12.9,17.3,35.4,8/8/2008,9.1,-13.1,12/6/2008
"		108",서울,2009,12.9,17.2,34.4,8/16/2009,9.1,-12.9,12/31/2009
"		108",서울,2010,12.1,16.3,33.8,8/5/2010,8.5,-15.3,1/13/2010
"		108",서울,2011,12,16.4,34.1,8/5/2011,8.4,-17.8,1/16/2011
"		108",서울,2012,12.2,16.7,36.7,8/5/2012,8.5,-17.1,2/2/2012
"		108",서울,2013,12.5,16.9,33.9,8/21/2013,8.7,-16.4,1/3/2013
"		108",서울,2014,13.4,18.3,35.8,8/2/2014,9.3,-13.2,12/18/2014
"		108",서울,2015,13.6,18.7,36,7/11/2015,9.3,-13,2/9/2015
"		108",서울,2016,13.6,18.5,36.6,8/21/2016,9.4,-18,1/24/2016
"		108",서울,2017,13,18.1,35.4,7/25/2017,8.8,-12.6,1/23/2017
"		108",서울,2018,12.9,17.9,39.6,8/1/2018,8.8,-17.8,1/26/2018
"		108",서울,2019,13.5,18.5,36.8,8/6/2019,9.3,-10.9,12/31/2019
"		108",서울,2020,13.2,17.9,35.4,6/22/2020,9.4,-12.9,12/31/2020
"		108",서울,2021,13.7,18.5,36.5,7/24/2021,9.6,-18.6,1/8/2021
"		108",서울,2022,13.2,18,36.1,7/30/2022,9.2,-13.7,12/23/2022
"		108",서울,2023,,,35.8,8/8/2023,,-17.3,1/25/2023
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"		",,,,,,,,,
"	",,,,,,,,,
"	",,,,,,,,,
"	",,,,,,,,,
"	",,,,,,,,,
"		",,,,,,,,,
"	",,,,,,,,,
"	",,,,,,,,,
